,book_link,isbn,isbn13,book_title,avg_rating,author_name,book_desc,genres
0,http://goodreads.com/book/show/626958.From_Here_to_Infinity,0,0,From Here to Infinity,3.91,['Ian Stewart'],"In this retitled and revised edition of The Problems of Mathematics, renowned mathematician Ian Stewart gives math buffs and non-technical readers--as well as students of the subject--the perfect guide to today's mathematics. This challenging and fascinating book includes three new chapters that cover the most recent developments in the mathematics field, including one on Kepler's sphere-packing problem, to which a solution has been at last announced after a wait of 380 years.Stewart, a particularly gifted mathematician and writer, shows us not only that math can be explained in everyday language, but that it can be downright fun as well. Puzzle solvers especially will delight in accounts of puzzles like Fermat's famous theorem, manifolds (a kind of mathematical origami in many dimensions), and the patterns in chaos. And what reader wouldn't want probability theory explained by demonstrating how to maximize one's lottery winnings? According to From Here to Infinity, good mathematics has an air of economy and an element of surprise. One could easily make the same claim for this instructive, amusing, and sometimes mind-boggling book.","['Science', 'Mathematics', 'Nonfiction', 'Science', 'Science', 'Popular Science', 'Science', 'Physics', 'Philosophy', 'Literature', '20th Century']"
1,http://goodreads.com/book/show/100049.Quantum_Theory,0192802526,9780192802521,Quantum Theory: A Very Short Introduction,3.79,['John C. Polkinghorne'],"Quantum Theory is the most revolutionary discovery in physics since Newton. This book gives a lucid, exciting, and accessible account of the surprising and counterintuitive ideas that shape our understanding of the sub-atomic world. It does not disguise the problems of interpretation that still remain unsettled 75 years after the initial discoveries. The main text makes no use of equations, but there is a Mathematical Appendix for those desiring stronger fare. Uncertainty, probabilistic physics, complementarity, the problematic character of measurement, and decoherence are among the many topics discussed. This volume offers the reader access to one of the greatest discoveries in the history of physics and one of the outstanding intellectual achievements of the twentieth century.About the Series: Combining authority with wit, accessibility, and style,  Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.","['Science', 'Science', 'Physics', 'Nonfiction', 'Philosophy', 'Science', 'Popular Science', 'History', 'Physics', 'Quantum Mechanics', 'Science', 'Chemistry', 'Reference', 'Audiobook']"
2,http://goodreads.com/book/show/79082.Symmetry_and_the_Monster,0192807226,9780192807229,Symmetry and the Monster: One of the Greatest Quests of Mathematics,3.78,['Mark Ronan'],"Mathematics is driven forward by the quest to solve a small number of major problems--the four most famous challenges being Fermat's Last Theorem, the Riemann Hypothesis, Poincare's Conjecture, and the quest for the ""Monster"" of Symmetry. Now, in an exciting, fast-paced historical narrative ranging across two centuries, Mark Ronan takes us on an exhilarating tour of this final mathematical quest.  Ronan describes how the quest to understand symmetry really began with the tragic young genius Evariste Galois, who died at the age of 20 in a duel. Galois, who spent the night before he died frantically scribbling his unpublished discoveries, used symmetry to understand algebraic equations, and he discovered that there were building blocks or ""atoms of symmetry."" Most of these building blocks fit into a table, rather like the periodic table of elements, but mathematicians have found 26 exceptions. The biggest of these was dubbed ""the Monster""--a giant snowflake in 196,884 dimensions. Ronan, who personally knows the individuals now working on this problem, reveals how the Monster was only dimly seen at first. As more and more mathematicians became involved, the Monster became clearer, and it was found to be not monstrous but a beautiful form that pointed out deep connections between symmetry, string theory, and the very fabric and form of the universe.  This story of discovery involves extraordinary characters, and Mark Ronan brings these people to life, vividly recreating the growing excitement of what became the biggest joint project ever in the field of mathematics. Vibrantly written, Symmetry and the Monster is a must-read for all fans of popular science--and especially readers of such books as Fermat's Last Theorem.""","['Science', 'Mathematics', 'Science', 'Nonfiction', 'Science', 'Popular Science', 'History']"
3,http://goodreads.com/book/show/249214.Particle_Physics,0192804340,9780192804341,Particle Physics: A Very Short Introduction,3.94,['Frank Close'],"In Particle Physics: A Very Short Introduction, best-selling author Frank Close provides a compelling and lively introduction to the fundamental particles that make up the universe. The book begins with a guide to what matter is made up of and how it evolved, and goes on to describe the fascinating and cutting-edge techniques used to study it. The author discusses particles such as quarks, electrons, and the neutrino, and exotic matter and antimatter. He also investigates the forces of nature, accelerators and detectors, and the intriguing future of particle physics. This book is essential reading for general readers interested in popular science, students of physics, and scientists at all levels. About the Series: Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.","['Science', 'Science', 'Physics', 'Nonfiction', 'Science', 'Popular Science', 'Audiobook', 'Adult', 'Reference']"
4,http://goodreads.com/book/show/1188644.The_Book_Nobody_Read,0143034766,9780143034766,The Book Nobody Read: Chasing the Revolutions of Nicolaus Copernicus,3.8,['Owen Gingerich'],"After three decades of investigation, and after traveling hundreds of thousands of miles across the globe-from Melbourne to Moscow, Boston to Beijing-Gingerich has written an utterly original book built on his experience and the remarkable insights gleaned from examining some 600 copies of ""De revolutionibus."" He found the books owned and annotated by Galileo, Kepler and many other lesser-known astronomers whom he brings back to life, which illuminate the long, reluctant process of accepting the Sun-centered cosmos and highlight the historic tensions between science and the Catholic Church. He traced the ownership of individual copies through the hands of saints, heretics, scalawags, and bibliomaniacs. He was called as the expert witness in the theft of one copy, witnessed the dramatic auction of another, and proves conclusively that ""De revolutionibus"" was as inspirational as it was revolutionary. Part biography of a book, part scientific exploration, part bibliographic detective story, ""The Book Nobody Read"" recolors the history of cosmology and offers new appreciation of the enduring power of an extraordinary book and its ideas.","['Science', 'History', 'Nonfiction', 'Science', 'Astronomy', 'Writing', 'Books About Books', 'Science', 'History Of Science', 'Biography', 'Science', 'Popular Science', 'Science Nature', 'Historical']"
5,http://goodreads.com/book/show/33931.Time_s_Arrow_Time_s_Cycle,0674891996,9780674891999,"Time's Arrow, Time's Cycle: Myth and Metaphor in the Discovery of Geological Time",3.91,['Stephen Jay Gould'],"Rarely has a scholar attained such popular acclaim merely by doing what he does best and enjoys most. But such is Stephen Jay Gould's command of paleontology and evolutionary theory, and his gift for brilliant explication, that he has brought dust and dead bones to life, and developed an immense following for the seeming arcana of this field.In Time's Arrow, Time's Cycle his subject is nothing less than geology's signal contribution to human thought--the discovery of ""deep time,"" the vastness of earth's history, a history so ancient that we can comprehend it only as metaphor. He follows a single thread through three documents that mark the transition in our thinking from thousands to billions of years: Thomas Burnet's four-volume Sacred Theory of the Earth (1680-1690), James Hutton's Theory of the Earth (1795), and Charles Lyell's three-volume Principles of Geology (1830-1833).Gould's major theme is the role of metaphor in the formulation and testing of scientific theories--in this case the insight provided by the oldest traditional dichotomy of Judeo-Christian thought: the directionality of time's arrow or the immanence of time's cycle. Gould follows these metaphors through these three great documents and shows how their influence, more than the empirical observation of rocks in the field, provoked the supposed discovery of deep time by Hutton and Lyell. Gould breaks through the traditional ""cardboard"" history of geological textbooks (the progressive march to truth inspired by more and better observations) by showing that Burnet, the villain of conventional accounts, was a rationalist (not a theologically driven miracle-monger) whose rich reconstruction of earth history emphasized the need for both time's arrow (narrative history) and time's cycle (immanent laws), while Hutton and Lyell, our traditional heroes, denied the richness of history by their exclusive focus upon time's Arrow.","['Science', 'Science', 'Geology', 'Nonfiction', 'History', 'Philosophy', 'Science', 'Popular Science', 'Science', 'History Of Science', 'Environment', 'Nature', 'Biology', 'Evolution', 'Reference']"
6,http://goodreads.com/book/show/3024263-sun-in-a-bottle,0670020338,9780670020331,Sun in a Bottle: The Strange History of Fusion and the Science of Wishful Thinking,3.95,['Charles Seife'],"The author of Zero looks at the messy history of the struggle to harness fusion energy . When weapons builders detonated the first hydrogen bomb in 1952, they tapped into the vastest source of energy in our solar system--the very same phenomenon that makes the sun shine. Nuclear fusion was a virtually unlimited source of power that became the center of a tragic and comic quest that has left scores of scientists battered and disgraced. For the past half-century, governments and research teams have tried to bottle the sun with lasers, magnets, sound waves, particle beams, and chunks of meta. (The latest venture, a giant, multi-billion-dollar, international fusion project called ITER, is just now getting underway.) Again and again, they have failed, disgracing generations of scientists. Throughout this fascinating journey Charles Seife introduces us to the daring geniuses, villains, and victims of fusion science: the brilliant and tortured Andrei Sakharov; the monomaniacal and Strangelovean Edward Teller; Ronald Richter, the secretive physicist whose lies embarrassed an entire country; and Stanley Pons and Martin Fleischmann, the two chemists behind the greatest scientific fiasco of the past hundred years. Sun in a Bottle is the first major book to trace the story of fusion from its beginnings into the 21st century, of how scientists have gotten burned by trying to harness the power of the sun.","['Science', 'Nonfiction', 'History', 'Science', 'Physics', 'Science', 'History Of Science', 'Science', 'Popular Science', 'Audiobook', 'Science', 'Technology']"
7,http://goodreads.com/book/show/1214669.Faster_Than_the_Speed_of_Light,0738205257,9780738205250,Faster Than the Speed of Light: The Story of a Scientific Speculation,4.01,['João Magueijo'],"Nothing travels faster than the speed of light, and light travels at one fixed speed. This idea is considered a foundation of modern physics, but what if it is wrong? Theoretical physicist Magueijo presents the idea that light traveled faster in the early universe than it does today. The varying speed of light theory solves some of the most intractable problems in cosmology, and could have major implications for the study of physics.","['Science', 'Science', 'Physics', 'Nonfiction', 'Science', 'Astronomy', 'Science', 'Popular Science', 'Philosophy', 'Biography', 'Science', 'Mathematics', 'Reference']"
8,http://goodreads.com/book/show/340289.Heat,0896087794,9780896087798,Heat: How to Stop the Planet From Burning,4.07,['George Monbiot'],"Heat: How to Stop the Planet From Burning marks an important moment in our civilization’s thinking about global warming. The question is no longer Is climate change actually happening? but What do we do about it? George Monbiot offers an ambitious and far-reaching program to cut our carbon dioxide emissions to the point where the environmental scales start tipping back—away from catastrophe. Though writing with a ""spirit of optimism,"" Monbiot does not pretend it will be easy. The only way to avoid further devastation, he argues, is a 90% cut in CO2 emissions in the rich nations of the world by 2030. In other words, our response will have to be immediate, and it will have to be decisive. In every case he supports his proposals with a rigorous investigation into what works, what doesn’t, how much it costs, and what the problems might be. He wages war on bad ideas as energetically as he promotes good ones. And he is not afraid to attack anyone—friend or foe—whose claims are false or whose figures have been fudged.After all, there is no time to waste. As Monbiot has said himself, ""we are the last generation that can make this happen, and this is the last possible moment at which we can make it happen.""  George Monbiot is the best-selling author of The Age of Consent and Captive State, as well as the investigative travel books Poisoned Arrows, Amazon Watershed, and No Man’s Land. In 1995, Nelson Mandela presented him with a United Nations Global 500 Award for outstanding environmental achievement. He has held visiting fellowships or professorships at the universities of Oxford (environmental policy), Bristol (philosophy), Keele (politics), and East London (environmental science). Currently visiting professor of planning at Oxford Brookes University, he writes a weekly column for the Guardian newspaper.","['Nonfiction', 'Environment', 'Science', 'Environment', 'Climate Change', 'Environment', 'Sustainability', 'Politics', 'Economics', 'Environment', 'Nature', 'Science', 'Popular Science', 'Environment', 'Global Warming']"
9,http://goodreads.com/book/show/33934.The_Flamingo_s_Smile,0393303756,9780393303759,The Flamingo's Smile: Reflections in Natural History,4.17,['Stephen Jay Gould'],"Lo scienziato e divulgatore Stephen Jay Gould in questa raccolta tratta degli argomenti più svariati e, apparentemente, stravaganti. Tra questi: il macabro pasto della vedova nera; Rita e Cristina, gemelle siamesi dall'incerta identità; un'improbabile teoria del passato che tentava di conciliare scoperte geologiche e Creazione divina; una Venere ottentotta che fu la meraviglia vivente all'inizio dell'Ottocento; il braccio nero della bianca Hanna West meduse, dinosauri... E altro ancora, come il misterioso sorriso che inaspettatamente compare se capovolgiamo l'immagine del fenicottero: una metafora forse (oltre che rarissimo esempio di inversione funzionale di una struttura anatomica) per dire che l'austera scienza della natura, sotto una penna brillante, può rivelarsi un'affascinante avventura, capace di coinvolgere anche il lettore più distratto.","['Science', 'Nonfiction', 'Biology', 'Evolution', 'Science', 'Biology', 'Writing', 'Essays', 'Science', 'Natural History', 'History', 'Environment', 'Nature', 'Animals', 'Science Nature']"
